altura,peso
152,48
154,52
156,58
158,55
160,62
161,57
163,64
164,70
165,59
166,68
167,72
168,63
169,75
170,67
170,82
171,73
172,69
173,78
174,71
175,85
176,76
177,80
178,74
179,88
180,79
181,92
182,83
183,86
184,95
185,89
186,91
187,98
188,90
189,102
190,94
191,100
192,105
193,97
194,110
195,103
150,45
151,50
153,54
155,56
157,61
159,65
162,63
162,75
165,73
168,85
171,90
174,82
176,95
179,98
182,105
185,115
188,108
190,120
160,80
167,90
173,92
180,110
187,115
194,125
